999,09/03/2010,07:00:00 PM,"Buffalo","Detroit"
999,09/03/2010,07:00:00 PM,"Cincinnati","Indianapolis"
999,09/03/2010,07:00:00 PM,"New England","New York (N)"
999,09/03/2010,07:00:00 PM,"New York (A)","Philadelphia"
1,09/09/2010,08:30:00 PM,"Minnesota","New Orleans"
1,09/12/2010,01:00:00 PM,"Miami","Buffalo"
1,09/12/2010,01:00:00 PM,"Detroit","Chicago"
1,09/12/2010,01:00:00 PM,"Oakland","Tennessee"
1,09/12/2010,01:00:00 PM,"Cincinnati","New England"
1,09/12/2010,01:00:00 PM,"Carolina","New York (N)"
1,09/12/2010,01:00:00 PM,"Atlanta","Pittsburgh"
1,09/12/2010,01:00:00 PM,"Cleveland","Tampa Bay"
1,09/12/2010,01:00:00 PM,"Denver","Jacksonville"
1,09/12/2010,01:00:00 PM,"Indianapolis","Houston"
1,09/12/2010,04:15:00 PM,"San Francisco","Seattle"
1,09/12/2010,04:15:00 PM,"Green Bay","Philadelphia"
1,09/12/2010,04:15:00 PM,"Arizona","St. Louis"
1,09/12/2010,08:20:00 PM,"Dallas","Washington"
1,09/13/2010,07:00:00 PM,"Baltimore","New York (A)"
1,09/13/2010,10:15:00 PM,"San Diego","Kansas City"
2,09/19/2010,01:00:00 PM,"Arizona","Atlanta"
2,09/19/2010,01:00:00 PM,"Baltimore","Cincinnati"
2,09/19/2010,01:00:00 PM,"Kansas City","Cleveland"
2,09/19/2010,01:00:00 PM,"Chicago","Dallas"
2,09/19/2010,01:00:00 PM,"Philadelphia","Detroit"
2,09/19/2010,01:00:00 PM,"Buffalo","Green Bay"
2,09/19/2010,01:00:00 PM,"Pittsburgh","Tennessee"
2,09/19/2010,01:00:00 PM,"Miami","Minnesota"
2,09/19/2010,01:00:00 PM,"Tampa Bay","Carolina"
2,09/19/2010,04:05:00 PM,"Seattle","Denver"
2,09/19/2010,04:05:00 PM,"St. Louis","Oakland"
2,09/19/2010,04:15:00 PM,"New England","New York (A)"
2,09/19/2010,04:15:00 PM,"Jacksonville","San Diego"
2,09/19/2010,04:15:00 PM,"Houston","Washington"
2,09/19/2010,08:20:00 PM,"New York (N)","Indianapolis"
